"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		201",강화,Jan-13,-4.9,-0.3,11.9,2013-01-31,-9.7,-19.7,2013-01-03
"		201",강화,Feb-13,-2.7,1.6,12.2,2013-02-28,-7.4,-16.6,2013-02-08
"		201",강화,Mar-13,3.2,8.7,20.8,2013-03-09,-2.1,-6.9,2013-03-21
"		201",강화,Apr-13,8.5,13.6,20.7,2013-04-17,3.2,-0.9,2013-04-21
"		201",강화,May-13,15.3,20.7,27.8,2013-05-25,10.4,5.4,2013-05-04
"		201",강화,Jun-13,21.8,26.8,30.8,2013-06-10,17.5,13.4,2013-06-04
"		201",강화,Jul-13,24.1,27,29.3,2013-07-19,21.9,19,2013-07-07
"		201",강화,Aug-13,26.1,30.1,32.1,2013-08-11,22.4,18,2013-08-31
"		201",강화,Sep-13,20.3,25.3,29.8,2013-09-18,16,7.8,2013-09-27
"		201",강화,Oct-13,14.3,20.2,27.1,2013-10-05,8.7,1.7,2013-10-25
"		201",강화,Nov-13,5.1,10.2,19.6,2013-11-01,-0.1,-8,2013-11-28
"		201",강화,Dec-13,-1.6,3.2,10.4,2013-12-07,-6.4,-13,2013-12-13
"		201",강화,Jan-14,-1.8,3.1,7.4,2014-01-24,-7.1,-12.9,2014-01-13
"		201",강화,Feb-14,0.2,5.2,15.1,2014-02-26,-4.2,-10.5,2014-02-05
"		201",강화,Mar-14,6.4,11.7,22.3,2014-03-28,0.7,-7.5,2014-03-07
"		201",강화,Apr-14,11.7,17.5,23.5,2014-04-26,6.5,-0.9,2014-04-05
"		201",강화,May-14,16.2,22.2,28.8,2014-05-30,11.1,5.9,2014-05-05
"		201",강화,Jun-14,21.4,25.9,28.5,2014-06-17,17.7,15.4,2014-06-09
"		201",강화,Jul-14,24.4,29.1,34.2,2014-07-10,20.7,17.6,2014-07-07
"		201",강화,Aug-14,23.9,28.1,35.8,2014-08-02,20.3,16.6,2014-08-11
"		201",강화,Sep-14,20.4,25.9,29,2014-09-01,15.4,11.5,2014-09-30
"		201",강화,Oct-14,14.2,20.4,27.9,2014-10-12,8.5,0.2,2014-10-28
"		201",강화,Nov-14,7.6,12.8,21,2014-11-01,2.3,-4.3,2014-11-19
"		201",강화,Dec-14,-3.5,1.3,8.2,2014-12-01,-8.3,-12.8,2014-12-18
"		201",강화,Jan-15,-2.2,2.7,8.1,2015-01-05,-6.7,-11.9,2015-01-03
"		201",강화,Feb-15,0.1,4.9,12.2,2015-02-15,-4.6,-12.1,2015-02-09
