날짜,총 예매인원
2008-01-01,194337
2008-01-02,67939
2008-01-03,71980
2008-01-04,76695
2008-01-05,168028
2008-01-06,149286
2008-01-07,54651
2008-01-08,56906
2008-01-09,53523
2008-01-10,104280
2008-01-11,114808
2008-01-12,244421
2008-01-13,220600
2008-01-14,80377
2008-01-15,82910
2008-01-16,78355
2008-01-17,106101
2008-01-18,121756
2008-01-19,241582
2008-01-20,219146
2008-01-21,85027
2008-01-22,86893
2008-01-23,79595
2008-01-24,92189
2008-01-25,100927
2008-01-26,219511
2008-01-27,195091
2008-01-28,67832
2008-01-29,67968
2008-01-30,69361
2008-01-31,99660
2008-02-01,97528
2008-02-02,200882
2008-02-03,183296
2008-02-04,72618
2008-02-05,116439
2008-02-06,151371
2008-02-07,176395
2008-02-08,236830
2008-02-09,222388
2008-02-10,170422
2008-02-11,59787
2008-02-12,54612
2008-02-13,51431
2008-02-14,140804
2008-02-15,110928
2008-02-16,224323
2008-02-17,210929
2008-02-18,84736
2008-02-19,84517
2008-02-20,80050
2008-02-21,88778
2008-02-22,98387
2008-02-23,198504
2008-02-24,189755
2008-02-25,77286
2008-02-26,80204
2008-02-27,80211
2008-02-28,103483
2008-02-29,117310
2008-03-01,240399
2008-03-02,191245
2008-03-03,61602
2008-03-04,55039
2008-03-05,54749
2008-03-06,68243
2008-03-07,88756
2008-03-08,196397
2008-03-09,158246
2008-03-10,47570
2008-03-11,45302
2008-03-12,42636
2008-03-13,66156
2008-03-14,107284
2008-03-15,182354
2008-03-16,164949
2008-03-17,50763
2008-03-18,46635
2008-03-19,48136
2008-03-20,69020
2008-03-21,81665
2008-03-22,176696
2008-03-23,159258
2008-03-24,51245
2008-03-25,47433
2008-03-26,45609
2008-03-27,55056
2008-03-28,66182
2008-03-29,156873
2008-03-30,137254
2008-03-31,45853
2008-04-01,38963
2008-04-02,39939
2008-04-03,61144
2008-04-04,71889
2008-04-05,161580
2008-04-06,131963
2008-04-07,40321
2008-04-08,52414
2008-04-09,162613
2008-04-10,45008
2008-04-11,59789
2008-04-12,131530
2008-04-13,114372
2008-04-14,38583
2008-04-15,37718
2008-04-16,38253
2008-04-17,49306
2008-04-18,55488
2008-04-19,131499
2008-04-20,96718
2008-04-21,33628
2008-04-22,36053
2008-04-23,36733
2008-04-24,57383
2008-04-25,72458
2008-04-26,154226
2008-04-27,136927
2008-04-28,41514
2008-04-29,45309
2008-04-30,113324
2008-05-01,187957
2008-05-02,114248
2008-05-03,215911
2008-05-04,240150
2008-05-05,274640
2008-05-06,73541
2008-05-07,57700
2008-05-08,64087
2008-05-09,93646
2008-05-10,205948
2008-05-11,211918
2008-05-12,215711
2008-05-13,48378
2008-05-14,45286
2008-05-15,74917
2008-05-16,74170
2008-05-17,195760
2008-05-18,177938
2008-05-19,46480
2008-05-20,43719
2008-05-21,44075
2008-05-22,97454
2008-05-23,114298
2008-05-24,273153
2008-05-25,240295
2008-05-26,65408
2008-05-27,58282
2008-05-28,63641
2008-05-29,79268
2008-05-30,96123
2008-05-31,221341
2008-06-01,191597
2008-06-02,48499
2008-06-03,49221
2008-06-04,53026
2008-06-05,128838
2008-06-06,315030
2008-06-07,260086
2008-06-08,229322
2008-06-09,68274
2008-06-10,68325
2008-06-11,71029
2008-06-12,92837
2008-06-13,120059
2008-06-14,281080
2008-06-15,240744
2008-06-16,74296
2008-06-17,72108
2008-06-18,81378
2008-06-19,119751
2008-06-20,143394
2008-06-21,305248
2008-06-22,266008
2008-06-23,104205
2008-06-24,105226
2008-06-25,108937
2008-06-26,139915
2008-06-27,154583
2008-06-28,305296
2008-06-29,275048
2008-06-30,111102
2008-07-01,103968
2008-07-02,127810
2008-07-03,131033
2008-07-04,149506
2008-07-05,308071
2008-07-06,273492
2008-07-07,103747
2008-07-08,104315
2008-07-09,97858
2008-07-10,120081
2008-07-11,139028
2008-07-12,295543
2008-07-13,257040
2008-07-14,88024
2008-07-15,85610
2008-07-16,93280
2008-07-17,167736
2008-07-18,166852
2008-07-19,314882
2008-07-20,297289
2008-07-21,122432
2008-07-22,117527
2008-07-23,114287
2008-07-24,122018
2008-07-25,139956
2008-07-26,285135
2008-07-27,255294
2008-07-28,111938
2008-07-29,112481
2008-07-30,175105
2008-07-31,207554
2008-08-01,223940
2008-08-02,338268
2008-08-03,294821
2008-08-04,159263
2008-08-05,154940
2008-08-06,185572
2008-08-07,177510
2008-08-08,188695
2008-08-09,325545
2008-08-10,274601
2008-08-11,127420
2008-08-12,129835
2008-08-13,125551
2008-08-14,150318
2008-08-15,277546
2008-08-16,252892
2008-08-17,220611
2008-08-18,100438
2008-08-19,94554
2008-08-20,85783
2008-08-21,81422
2008-08-22,86509
2008-08-23,175040
2008-08-24,165078
2008-08-25,61915
2008-08-26,60696
2008-08-27,55707
2008-08-28,54764
2008-08-29,62210
2008-08-30,154181
2008-08-31,138455
2008-09-01,35709
2008-09-02,33508
2008-09-03,48374
2008-09-04,77850
2008-09-05,90326
2008-09-06,213829
2008-09-07,187249
2008-09-08,53957
2008-09-09,58570
2008-09-10,56339
2008-09-11,80163
2008-09-12,150941
2008-09-13,208879
2008-09-14,236996
2008-09-15,297009
2008-09-16,142894
2008-09-17,61250
2008-09-18,67822
2008-09-19,76731
2008-09-20,202017
2008-09-21,163377
2008-09-22,49794
2008-09-23,51510
2008-09-24,50429
2008-09-25,72948
2008-09-26,83537
2008-09-27,165366
2008-09-28,144607
2008-09-29,51890
2008-09-30,54241
2008-10-01,56779
2008-10-02,95009
2008-10-03,179863
2008-10-04,160361
2008-10-05,127065
2008-10-06,52366
2008-10-07,54043
2008-10-08,55671
2008-10-09,72443
2008-10-10,85300
2008-10-11,164751
2008-10-12,135332
2008-10-13,55784
2008-10-14,52228
2008-10-15,51563
2008-10-16,71537
2008-10-17,73656
2008-10-18,170649
2008-10-19,123693
2008-10-20,48457
2008-10-21,50806
2008-10-22,53572
2008-10-23,81155
2008-10-24,92768
2008-10-25,172881
2008-10-26,143375
2008-10-27,62172
2008-10-28,62268
2008-10-29,60239
2008-10-30,65429
2008-10-31,77197
2008-11-01,154786
2008-11-02,122768
2008-11-03,49795
2008-11-04,48640
2008-11-05,68170
2008-11-06,72243
2008-11-07,79957
2008-11-08,167837
2008-11-09,139079
2008-11-10,55370
2008-11-11,56016
2008-11-12,52326
2008-11-13,110381
2008-11-14,103570
2008-11-15,203102
2008-11-16,154636
2008-11-17,64542
2008-11-18,65281
2008-11-19,64279
2008-11-20,85934
2008-11-21,92385
2008-11-22,175437
2008-11-23,144181
2008-11-24,64541
2008-11-25,64416
2008-11-26,65195
2008-11-27,82243
2008-11-28,80928
2008-11-29,170332
2008-11-30,135107
2008-12-01,45736
2008-12-02,49580
2008-12-03,55989
2008-12-04,67883
2008-12-05,72491
2008-12-06,153791
2008-12-07,132121
2008-12-08,54712
2008-12-09,59092
2008-12-10,72263
2008-12-11,98380
2008-12-12,110851
2008-12-13,215045
2008-12-14,184964
2008-12-15,75402
2008-12-16,81379
2008-12-17,93361
2008-12-18,114545
2008-12-19,132846
2008-12-20,254485
2008-12-21,245816
2008-12-22,94461
2008-12-23,109603
2008-12-24,251991
2008-12-25,418818
2008-12-26,150836
2008-12-27,248886
2008-12-28,215607
2008-12-29,104766
2008-12-30,141660
2008-12-31,209830
2009-01-01,287078
2009-01-02,173819
2009-01-03,261186
2009-01-04,211656
2009-01-05,85330
2009-01-06,86929
2009-01-07,87267
2009-01-08,108423
2009-01-09,116505
2009-01-10,263881
2009-01-11,224346
2009-01-12,75086
2009-01-13,80884
2009-01-14,78075
2009-01-15,79656
2009-01-16,90984
2009-01-17,200249
2009-01-18,166459
2009-01-19,58476
2009-01-20,59242
2009-01-21,57209
2009-01-22,130136
2009-01-23,145740
2009-01-24,260338
2009-01-25,209152
2009-01-26,253231
2009-01-27,305981
2009-01-28,126665
2009-01-29,105250
2009-01-30,109107
2009-01-31,229312
2009-02-01,191119
2009-02-02,71005
2009-02-03,66460
2009-02-04,68982
2009-02-05,87042
2009-02-06,92541
2009-02-07,192662
2009-02-08,167809
2009-02-09,64125
2009-02-10,64395
2009-02-11,59724
2009-02-12,105408
2009-02-13,111967
2009-02-14,270143
2009-02-15,209600
2009-02-16,87578
2009-02-17,90922
2009-02-18,93570
2009-02-19,100750
2009-02-20,107086
2009-02-21,224990
2009-02-22,204931
2009-02-23,86295
2009-02-24,84259
2009-02-25,83145
2009-02-26,86660
2009-02-27,90073
2009-02-28,182852
2009-03-01,153640
2009-03-02,51868
2009-03-03,48565
2009-03-04,46872
2009-03-05,57575
2009-03-06,62802
2009-03-07,143683
2009-03-08,125843
2009-03-09,34754
2009-03-10,35057
2009-03-11,38668
2009-03-12,51924
2009-03-13,69678
2009-03-14,196758
2009-03-15,130780
2009-03-16,38719
2009-03-17,37539
2009-03-18,35000
2009-03-19,61050
2009-03-20,68949
2009-03-21,158795
2009-03-22,136845
2009-03-23,41595
2009-03-24,36829
2009-03-25,44852
2009-03-26,62031
2009-03-27,76476
2009-03-28,162682
2009-03-29,132127
2009-03-30,44447
2009-03-31,47845
2009-04-01,44211
2009-04-02,63249
2009-04-03,79036
2009-04-04,181679
2009-04-05,132214
2009-04-06,44885
2009-04-07,45786
2009-04-08,44125
2009-04-09,46542
2009-04-10,61661
2009-04-11,137665
2009-04-12,114677
2009-04-13,38703
2009-04-14,39958
2009-04-15,45984
2009-04-16,54724
2009-04-17,68202
2009-04-18,162842
2009-04-19,118137
2009-04-20,43067
2009-04-21,42427
2009-04-22,48982
2009-04-23,57147
2009-04-24,86601
2009-04-25,200744
2009-04-26,165107
2009-04-27,50854
2009-04-28,53519
2009-04-29,67543
2009-04-30,141912
2009-05-01,237583
2009-05-02,313095
2009-05-03,242477
2009-05-04,208053
2009-05-05,310784
2009-05-06,66992
2009-05-07,71218
2009-05-08,88054
2009-05-09,221797
2009-05-10,189554
2009-05-11,64523
2009-05-12,66782
2009-05-13,62208
2009-05-14,88688
2009-05-15,120888
2009-05-16,265902
2009-05-17,225750
2009-05-18,71676
2009-05-19,65733
2009-05-20,67335
2009-05-21,132004
2009-05-22,147678
2009-05-23,308704
2009-05-24,269067
2009-05-25,84561
2009-05-26,78064
2009-05-27,75903
2009-05-28,125958
2009-05-29,137613
2009-05-30,296043
2009-05-31,263250
2009-06-01,89101
2009-06-02,80685
2009-06-03,80106
2009-06-04,89298
2009-06-05,134836
2009-06-06,309917
2009-06-07,224323
2009-06-08,65369
2009-06-09,59478
2009-06-10,57888
2009-06-11,80613
2009-06-12,103535
2009-06-13,230978
2009-06-14,188568
2009-06-15,64667
2009-06-16,61048
2009-06-17,61583
2009-06-18,70293
2009-06-19,88888
2009-06-20,221804
2009-06-21,170570
2009-06-22,61486
2009-06-23,62296
2009-06-24,178025
2009-06-25,151677
2009-06-26,164367
2009-06-27,323116
2009-06-28,280062
2009-06-29,113538
